Model ID,Type,Base Model,Task,Library,License,Download,Model Category,Datasets,Missing Type
mohannad-tazi/data2vec-audio-base-960h-ONNX,,,,,,72,Unknown,,
shray98/peft-cumulative-testing-all-152-openai-whisper-large-v3,,,,transformers,,0,Unknown,,
sridhar1ga/whisper-small-en,finetune,openai/whisper-small,automatic-speech-recognition,transformers,apache-2.0,11,Audio,UCLASS,
bigmorning/whisper_input_decoder_shift_r_labels_no_force__0080,finetune,openai/whisper-tiny,automatic-speech-recognition,transformers,apache-2.0,8,Audio,,
charlesai/cstest,,,,,,0,Unknown,,
albertus-sussex/veriscrape-simcse-auto-reference_4_to_verify_6-fold-6,,,feature-extraction,transformers,,9,NLP,,
numerouno00/eb0f116f-9ac8-4d93-8c9f-439363eba472,,,,,,7,Unknown,,
Xu-Ouyang/pythia-160m-deduped-int4-step100000-GPTQ-wikitext2,,,text-generation,transformers,,11,NLP,,
duskdagger/gr4cePu55y,adapter,black-forest-labs/FLUX.1-dev,text-to-image,diffusers,,8,CV,,
xueyj/Qwen-Qwen1.5-7B-1723737697,adapter,Qwen/Qwen1.5-7B,,peft,,44,Unknown,,
kokovova/e9d2d5a1-4f26-4d0a-b6b0-92f2911c1a0b,adapter,Qwen/Qwen2-0.5B,,peft,apache-2.0,15,Unknown,,
gaudi/opus-mt-eo-fr-ctranslate2,,,translation,transformers,apache-2.0,8,NLP,,
cimol/ea0df905-44cb-4936-aefb-9201c4baaf56,,,,,,0,Unknown,,
Nasree/ppo-CartPole-v1,,,reinforcement-learning,,,0,Reinforcement Learning,,
yedi-hu/slerp_gpt2_cola_gpt2_mnli_mask_25,,,,,,19,Unknown,,
bezzam/digicam-celeba-unrolled-admm10-post8M,,,,,mit,0,Unknown,,
vittai23/whisper-small-marathi,,,automatic-speech-recognition,transformers,apache-2.0,14,Audio,mozilla-foundation/common_voice_11_0,
flux-safetensors/flux-safetensors,,,,,,0,Unknown,,
ReadyArt/Legion-V2.1-LLaMa-70B_EXL2_5.0bpw_H8,quantized,Tarek07/Legion-V2.1-LLaMa-70B,text-generation,transformers,llama3.3,76,NLP,,
KasparZ/mtext-141024_mistral-7B-v0.1_merged,,,text-generation,transformers,,11,NLP,,
TensorStack/Dreamshaper-XL-SFW-onnx,,,,,,0,Unknown,,convert
aldobremen/ppo-Huggy,,,reinforcement-learning,ml-agents,,30,Reinforcement Learning,,
dauksza123/cdauksza,,,,,apache-2.0,0,Unknown,,
Aksy/mistral-7b-chatbot,,,,,,0,Unknown,,
Jserw/llava-next-baseline-ours,,,,,,7,Unknown,,
hasdal/d3b3625e-4fa2-4805-895f-574ea4fdc7b5,,,,,,0,Unknown,,
aardvark-labs/stp-classifier-22-2,,,text-classification,transformers,,40,NLP,,
digiplay/Pika_v2,,,text-to-image,diffusers,other,15,CV,,
tkcho/commerce-clf-kr-sku-brand-9981d48af97be28a974d5dd6f4cad3fe,,,text-classification,transformers,,36,NLP,,
Shawon16/VideoMAE_default_fold__2__10_epoch_Aug_batch_2_4_BdSLW60_SR_8_p2_kineticsFinetuned_18_25,,,,,,0,Unknown,,
stealurfaces/unchained,,,,,,0,Unknown,,
iimotobat/voiceinternal,,,,,mit,0,Unknown,,
aleegis12/06545932-c4e5-4297-8be5-11dc8a18ae83,adapter,Qwen/Qwen2.5-Coder-7B-Instruct,,peft,apache-2.0,6,Unknown,,
EMaghakyan/gpt2-finetuned-ami-en,,,,,,0,Unknown,,
numerouno00/f4ca9616-6d4b-48ee-8374-dc5652d4407a,,,,,,0,Unknown,,
nblinh63/5dbcb187-8a9e-454e-8dff-968a10d75e07,,,,,,0,Unknown,,
ClarenceDan/a03a5bca-9e07-4890-b6fd-167efe603e8f,adapter,unsloth/SmolLM-135M,,peft,apache-2.0,5,Unknown,,
China-NCTIEDA/ChipExpert-8B-Instruct,,,text-generation,transformers,apache-2.0,30,NLP,,
mssongit/Qwen2.5-14B-SFT-LoRA-axolotl-v1,adapter,Qwen/Qwen2.5-14B-Instruct,,peft,,23,Unknown,,
RylanSchaeffer/collapse_gemma-2-27b_hs2_replace_iter4_sftsd1,finetune,google/gemma-2-27b,,,gemma,10,Unknown,,
saberx/Qwen-Qwen1.5-7B-1725305309,adapter,Qwen/Qwen1.5-7B,,peft,,3,Unknown,,
himanshubeniwal/xlm_lf_bond,,,text-classification,transformers,,30,NLP,,
Namronaldo2004/ViInfographicsVQA_model,,,,,apache-2.0,0,Unknown,,
dianamihalache27/twitter-roberta-base_3epoch2,finetune,cardiffnlp/twitter-roberta-base-irony,text-classification,transformers,,12,NLP,,
alessio21/minds14-finetuned,finetune,openai/whisper-tiny,automatic-speech-recognition,transformers,apache-2.0,8,Audio,PolyAI/minds14,
RichardErkhov/rombodawg_-_rombos_Replete-Coder-Llama3-8B-awq,,,,,,5,Unknown,,
