Model ID,Type,Base Model
bartowski/THUDM_GLM-4-32B-0414-GGUF,quantized,THUDM/GLM-4-32B-0414
bartowski/THUDM_GLM-Z1-32B-0414-GGUF,quantized,THUDM/GLM-Z1-32B-0414
IlyaGusev/saiga_gemma3_12b_sft_m1,,
OPEA/gemma-3-27b-it-int4-AutoRound-cpu,quantized,google/gemma-3-27b-it
Tongda/Tongda1-1.5B-BKI,finetune,Qwen/Qwen2-1.5B-Instruct
jingyaogong/minimind-v-v1,,
ibrahimkettaneh/Qwen2.5-0.5B-Instruct-abliterated,finetune,Qwen/Qwen2.5-0.5B
ProdeusUnity/Celestial-Harmony-14b-v1.0-Experimental-1015,merge,"arcee-ai/SuperNova-Medius, EVA-UNIT-01/EVA-Qwen2.5-14B-v0.1, v000000/Qwen2.5-14B-Gutenberg-1e-Delta, Qwen/Qwen2.5-14B"
mesolitica/malaysian-whisper-large-v3-turbo-v2,,
vishnun0027/Llama-3.2-1B-Instruct-Indian-Law,,
Nayana-cognitivelab/Nayana_base_OCR,,
scottsuk0306/gte-base-ko,finetune,Alibaba-NLP/gte-multilingual-base
unsloth/QwQ-32B-Preview,finetune,Qwen/QwQ-32B-Preview
ProdeusUnity/Dazzling-Star-Aurora-32b-v0.0-Experimental-1130,,
ibm-ai-platform/Bamba-9B,,
IlyaGusev/saiga_nemo_12b_sft_m10_d18_simpo_m26_d38,,
AquilaX-AI/security_assistant,,
vevotx/Tahoe-100M-SCVI-v1,,
Pearush/deepseek_small_random,,
tyfeng1997/Llama3.2-1B-Open-R1-Distill,finetune,meta-llama/Llama-3.2-1B-Instruct
Alvenir/coral-1-whisper-large,finetune,openai/whisper-large-v3
Jeremmmyyyyy/Qwen-2.5-Math-7B-Instruct-QA-10-full-deepseek-augmented,finetune,Qwen/Qwen2.5-Math-7B-Instruct
bytedance-research/BFS-Prover,finetune,Qwen/Qwen2.5-Math-7B
Metaskepsis/ElitePhi,,
saishshinde15/TethysAI_Vortex_Reasoning,finetune,saishshinde15/TBH.AI_Base_Reasoning
Praful69/Merge2,,
dongwonj/tulu-3-sft-mixture-0.05,,
terencezhang1997/llama-3-1-8b-answer-generator-ft-2,,
OPEA/gemma-3-12b-it-int4-AutoRound-cpu,quantized,google/gemma-3-12b-it
AR-Lab/EQuIP_3B,finetune,Qwen/Qwen2.5-3B-Instruct
vpakarinen/wan21-lora,,
arshiaafshani/Arsh-llm,,
sealical/Skywork-R1V-38B-AWQ,,
ZeroAgency/zero-mistral-beta26,,
DoppelReflEx/MiniusLight-24B-v2-test,merge,"TroyDoesAI/BlackSheep-24B, PocketDoc/Dans-PersonalityEngine-V1.2.0-24b"
Kaith-jeet123/SmolLM2_medical,,
bartowski/meta-llama_Llama-4-Scout-17B-16E-Instruct-GGUF,quantized,meta-llama/Llama-4-Scout-17B-16E-Instruct
c4tdr0ut/Quranburner-LEGACY,quantized,upstage/SOLAR-10.7B-Instruct-v1.0
C10X/cogito-v1-preview-llama-3B-Q4_K_M-GGUF,quantized,deepcogito/cogito-v1-preview-llama-3B
ZeroAgency/zero-mistral-beta43,,
sewella5/prime_T5-small,,
thirdeyeai/QwQ-32B-uncensored-GGUF,,
observerw/ChiseLLM-7B-Mix-2,finetune,Qwen/Qwen2.5-Coder-7B-Instruct
ZeroAgency/zero-mistral-beta48-e2,,
gabehubner/vae-256px-cc3m,,
VolkanSimsir/Meta-Llama-3.1-8B-tr-it-gguf,,
atlasia/moroccan-ghibli-flux-fused,,
ohassane/deepseek-code-clone-detector,,
ohassane/deepseek-cc-detector,,
Sorawiz/Qwen2.5-Freyalise-A,merge,"Ttimofeyka/Tissint-14B-v1.2-128k-RP, Sao10K/14B-Qwen2.5-Freya-x1"
Sorawiz/Qwen2.5-Freyalise-B,merge,"SicariusSicariiStuff/Impish_QWEN_14B-1M, Sao10K/14B-Qwen2.5-Freya-x1"
codermert/semanur_fluxxx,adapter,black-forest-labs/FLUX.1-dev
siRendy/indobert-analisis-sentimen-review-produk-p2,finetune,indobenchmark/indobert-base-p2
siRendy/indoT5-sumarisasi-review-produk,finetune,Wikidepia/IndoT5-base
Jonjew/NSFWMasterFlux,adapter,black-forest-labs/FLUX.1-dev
kpeyton/distilbert-base-uncased-finetuned-atuscol,finetune,distilbert/distilbert-base-uncased
nprime496/building_floor_classification,,
nprime496/distilroberta-base-finetuned-wikitext2,,
Yeleven/test,,
HeiniB/DA_FO_Translator,,
rovenmusic/DialoGPT-small-melodybot,,
rovenmusic/DialoGPT-small-melodybotv2,,
rovenmusic/DialoGPT-small-melodybotv3,,
rovenmusic/DialoGPT-small-melodyv10,,
rovenmusic/DialoGPT-small-melodyvfinal,,
artyomboyko/whisper-base-fine_tuned-ru,finetune,openai/whisper-base
james0248/ppo-LunarLander-v1,,
DucHaiten/DucHaitenAnimated,,
younghanstark/kpmg_2023_test,,
aminian/ML-final-project,,
DucHaiten/DucHaitenAnime,,
james0248/q-FrozenLake-v1-4x4-noSlippery,,
james0248/taxi-v3-model-v1,,
DucHaiten/DucHaitenDreamWorld,,
MaxingKing/Arza3GPT,,
tanthinhdt/ppo-LunarLander-v2,,
DucHaiten/DH_ClassicAnime,,
DucHaiten/DucHaitenSuperCute,,
james0248/Reinforce-Cartpole-v1,,
james0248/Reinforce-Pixelcopter-PLE-v0,,
james0248/SpaceInvadersNoFrameskip-v4,,
ExpressGradient/ppo-LunarLander-v2,,
Arzigogolato/ppo-LunarLander-v2,,
dearxoasis/wav2vec2-thai,,
DucHaiten/DucHaitenJourney,,
dearxoasis/ASR_dear_wav2vec2-thai,,
jopankotta/rosemyb,,
Lagyamfi/bert-fine-tuned-cola,,
DucHaiten/DucHaitenWaifu,,
DucHaiten/DucHaiten-StyleLikeMe,,
DucHaiten/DucHaiten-GODofSIMP,,
DucHaiten/DucHaiten-LoFi,,
JourneyLife/repo1,,
DucHaiten/DucHaitenNiji,,
Climate-TwitterBERT/Climate-TwitterBERT-step2,,
Jacky1030/Lion52000,,
DucHaiten/DucHaiten-MindBreak,,
Jacky1030/Lion62K,,
DucHaiten/beta,,
eneSadi/my_awesome_opus_books_model,,
79man/q-FrozenLake-v1-4x4-noSlippery,,
79man/q-Taxi-v3,,
Merthius/Max-MajicMIX-Realistic,,
matthewchung74/bloom-7b1-lora-tagger,,
matthewchung74/BioMedLM,,
79man/dqn-SpaceInvadersNoFrameskip-v4,,
Resso/bddv11,,
79man/ppo-LunarLander-v2,,
Resso/Bdgdosv1,,
DucHaiten/DucHaiten-DarkNiji,,
DucHaiten/DucHaiten-AsianGirl,,
Resso/msy,,
Jacky1030/PersonaFlanT5,,
